"beer_receipts","cover_charge_receipts","inside_outside_city_limits_code_y_n","liquor_receipts","location_address","location_city","location_county","location_name","location_number","location_state","location_zip","obligation_end_date_yyyymmdd","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","tabc_permit_number","taxpayer_address","taxpayer_city","taxpayer_county","taxpayer_name","taxpayer_number","taxpayer_state","taxpayer_zip","total_receipts","wine_receipts"
"52011","0","MB536413","19714","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-01-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","73887","2162"
"51475","0","MB746923","17560","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","70636","1601"
"41540","0","MB746923","22447","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","66515","2528"
"37422","0","MB536413","17338","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-05-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","55466","706"
"35326","0","MB746923","20014","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","57393","2053"
"48333","0","MB746923","14575","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","64011","1103"
"42660","0","MB536413","17323","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-01-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","62063","2080"
"40112","0","MB746923","14927","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","56244","1205"
"41698","0","MB746923","14895","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","57695","1102"
"45779","0","MB536413","16995","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-05-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","64537","1763"
